age,monthly_charges,total_charges,tenure_months,monthly_usage_gb,customer_satisfaction,number_of_services,gender,contract_type,payment_method,internet_service,phone_service,streaming_tv,streaming_movies,churn,customer_lifetime_value
39.0,55.51585617151535,3551.7694630653427,67.0,84.58366692860682,6,2,Female,Two year,Bank transfer,DSL,Yes,no,No,no,3478.46
41.0,67.59572886519048,3628.766426321991,47.0,91.18226411030798,4,4,Male,monthly,Bank transfer,DSL,Y,No,no,no,3929.03
27.0,78.6918750704376,936.0108828191278,10.0,60.524988053102774,5,3,M,Two year,Electronic check,No,Y,yes,yes,no,2627.29
47.0,67.23242451686916,2959.9810288113645,46.0,61.36984765125511,4,3,Female,Month-to-month,Bank transfer,dsl,yes,No,Yes,yes,224.32
56.0,76.30674010332208,1380.1774468756194,16.0,53.82331391228682,2,3,Female,yearly,Mailed check,Fiber optic,yes,Yes,No,no,3304.37
69.0,86.96719497068295,5760.920231583606,68.0,64.69598096686921,1,3,Male,monthly,Mailed check,None,Yes,No,yes,yes,1981.19
26.0,47.6433053214116,1820.6321525434162,34.0,36.03409465634866,7,1,Male,One year,Credit card,No,Yes,no,yes,no,2135.87
20.0,24.048911419584094,1380.235935414692,63.0,63.058514381150474,8,2,Female,Month-to-month,Bank transfer,dsl,Y,Yes,no,yes,100.0
60.0,118.66246433433778,4078.9058676362906,30.0,58.326958157458755,2,4,male,One year,Bank transfer,fiber,no,Yes,No,yes,854.14
21.0,54.155681930950216,1698.4376246814254,29.0,62.31801645003958,8,3,F,monthly,Mailed check,DSL,yes,yes,No,no,2024.12
61.0,41.98231415347372,2914.2030554840458,58.0,62.21347076671666,2,2,Female,Two year,Electronic check,fiber,Y,No,No,no,4263.87
62.0,54.98647197008971,169.54431091892047,3.0,99.86559423141718,5,3,female,Two year,Bank transfer,fiber,Yes,no,No,no,2889.46
40.0,70.05220854844,2074.2611395205845,31.0,39.79050907651973,10,1,female,Two year,Electronic check,DSL,Y,no,No,no,3659.75
22.0,62.7048319620327,2158.0296903491026,41.0,29.58192581461594,2,4,Male,One year,Bank transfer,dsl,N,No,yes,no,2592.31
43.0,48.32417873894446,803.3632773874723,16.0,18.956506252646356,1,1,Female,yearly,Mailed check,DSL,no,no,yes,no,922.42
25.0,50.624632716578446,1700.1837733198915,40.0,76.31345735544468,7,3,female,Month-to-month,Credit card,None,Y,no,yes,no,1747.81
32.0,75.53936062876316,3089.3409454862176,48.0,23.38203030461512,4,4,Male,monthly,electronic,DSL,Y,no,No,no,4092.97
54.0,24.493826137809023,1301.7285287153738,54.0,41.57060662286723,2,3,Female,Month-to-month,Electronic check,None,Yes,no,yes,no,1587.0
74.0,15.575316062514574,694.3158268153202,49.0,48.65429928715401,2,2,F,Month-to-month,electronic,Fiber optic,Y,no,Yes,no,2452.17
48.0,89.28525852415656,4847.288548743319,56.0,48.586650129251794,5,1,Male,monthly,credit,No,Yes,Yes,No,no,2644.62
46.0,33.84402607057955,1749.8678411078681,49.0,3.6553056301644204,6,1,Male,Two year,Mailed check,dsl,Yes,No,No,no,2616.71
58.0,73.25337304287017,3612.698724339,45.0,82.90401466087198,8,2,Male,Month-to-month,Mailed check,dsl,N,no,no,no,2532.43
53.0,76.45632443817843,3585.222799796808,41.0,49.687116145371,3,4,Female,Two year,Mailed check,Fiber optic,yes,no,no,no,2621.91
66.0,82.9194532044909,3494.636230630282,40.0,56.464323402384736,2,4,F,Month-to-month,Bank transfer,dsl,Y,no,yes,yes,1654.72
71.0,78.90151965408758,4813.190349592255,59.0,0.0,4,3,F,Month-to-month,electronic,None,Yes,Yes,no,yes,214.03
62.0,77.9425818028469,5414.475886519743,71.0,55.110173020436186,1,4,F,Month-to-month,Bank transfer,DSL,N,yes,Yes,yes,1578.21
57.0,58.56784840574831,2158.8651503144233,45.0,32.12219621864382,2,1, , ,electronic,fiber,No,no,Yes,yes,100.0
22.0,36.648129482625755,2392.807060361719,65.0,11.740835933605034,1,3,Female,Month-to-month,electronic,fiber,Y,Yes,no,no,3403.8
79.0,37.81349657616935,1616.6260174260347,51.0,70.78889623799708,5,4,male,Month-to-month,Electronic check,None,Y,Yes,yes,no,1949.46
51.0,69.25696337207559,69.5771364624364,1.0,80.84638427742318,10,4,F,yearly,Bank transfer,dsl,Y,no,yes,no,3004.14
25.0,29.8746529259204,179.86750557176498,7.0,54.06061386370004,8,4,F,yearly,Mailed check,fiber,no,yes,Yes,no,1331.43
31.0,92.53144866647123,1682.2787574453534,16.0,50.756283412547226,5,1,M,monthly,Bank transfer,DSL,no,no,Yes,yes,528.02
77.0,45.69318920946563,1835.8515163877219,38.0,33.877979131376904,8,2,M,yearly,electronic,No,N,Yes,Yes,no,1939.65
60.0,38.57090278037635,1231.8925968459394,36.0,59.07546389438028,8,2,female,Month-to-month,Electronic check,dsl,Yes,No,no,no,1947.48
47.0,49.46182142215257,1280.3073114508122,22.0,48.801933962210356,6,2,Female,Two year,Mailed check,Fiber optic,Yes,Yes,Yes,no,100.0
44.0,56.124510431246094,4010.565349592196,62.0,47.34446399951116,8,3,Female,Month-to-month,electronic,DSL,yes,yes,No,no,4533.48
59.0,71.33352183293269,3528.4751443236983,54.0,81.77634356707995,2,4,Female,Month-to-month,Bank transfer,fiber,yes,yes,yes,yes,106.47
19.0,74.2262955889656,916.0562937597649,13.0,40.92462455132887,6,1,Male,One year,credit,No,Yes,no,no,yes,100.0
37.0,74.5232375981185,4369.338539574647,53.0,50.27765397885968,8,3,female,monthly,Electronic check,Fiber optic,Y,No,Yes,no,3493.12
66.0,18.5645347138341,1011.2722535128278,47.0,75.59456485883403,6,1,F,Month-to-month,Bank transfer,No,N,no,no,no,2460.25
28.0,56.504127184185435,477.58399557829836,8.0,32.95686369748985,5,1,female,One year,Electronic check,None,yes,no,Yes,yes,100.0
64.0,30.208660494760373,2119.0057819382164,66.0,52.10815355105836,4,2,F,Two year,Electronic check,fiber,no,No,yes,no,2468.79
20.0,68.40123445011636,2707.10531903505,39.0,65.20341824552455,3,3,Female,monthly,Bank transfer,Fiber optic,No,no,No,no,3666.33
61.0,86.49015139606072,507.54872408493253,5.0,49.40678659946166,3,4,F,yearly,Bank transfer,dsl,Yes,No,no,no,2286.6
45.0,30.71069870828432,1832.8219111413364,52.0,35.22959819625728,6,4,female,yearly,Bank transfer,Fiber optic,Yes,Yes,no,no,2342.48
37.0,61.093385842720416,3024.3405091195527,60.0,70.22368291226707,8,4,Male,yearly,Electronic check,fiber,Y,No,No,no,2587.74
70.0,48.13117846686551,2722.3109971350887,70.0,27.347223318369835,5,2,Female,monthly,Electronic check,DSL,Y,no,no,no,3545.96
77.0,68.80646654529137,4869.266802098164,65.0,0.0,9,4,M,yearly,Mailed check,None,N,No,No,no,2604.34
45.0,84.51113944150715,2253.7005552359287,31.0,88.05525344793895,2,3,female,Two year,credit,DSL,yes,no,yes,no,2169.21
39.0,38.762519536395246,2690.238863047425,61.0,130.56561746565916,9,3,F,Two year,Electronic check,DSL,Y,yes,No,no,4422.3
43.0,42.576613592357845,1691.9958987943573,38.0,96.37724519678667,4,4,Female,One year,Mailed check,Fiber optic,Yes,Yes,No,no,2454.12
43.0,78.32252936194466,5121.587728541161,55.0,67.22094144355268,7,4,male,Month-to-month,Credit card,fiber,yes,Yes,Yes,yes,1585.94
42.0,48.717850178183795,1597.9487727667527,32.0,85.01952707730857,5,4,F,Month-to-month,credit,Fiber optic,No,No,No,yes,100.0
40.0,66.42311217760943,3549.909276449396,62.0,65.89597070937917,5,3,male,Two year,credit,dsl,Y,yes,no,no,2488.73
36.0,66.94680768702645,1111.8319889816305,14.0,42.230812747393664,3,2,Female,Month-to-month,Electronic check,fiber,N,yes,no,yes,100.0
23.0,63.95952188832081,1775.7211211673653,33.0,40.05536393054796,6,3,F,Month-to-month,credit,dsl,Yes,No,yes,yes,100.0
19.0,77.87740620741823,1280.6707422138709,14.0,36.01413719149637,9,4,Male,yearly,Mailed check,Fiber optic,No,No,No,no,1873.46
50.0,78.40734811747038,1166.6334274545056,18.0,96.28230126940431,4,3,Female,Month-to-month,Mailed check,dsl,No,No,no,no,2097.66
33.0,90.36137586247617,2990.7277589476807,29.0,37.64263020551523,5,3,male,Two year,electronic,DSL,yes,no,yes,no,2163.39
32.0,82.38167983010545,3341.350380140885,48.0,30.433311466192514,9,2,Male,Two year,credit,DSL,yes,no,No,no,2829.53
40.0,73.89044999134057,1360.372723205438,18.0,78.18219120165361,9,3,female,Two year,Bank transfer,fiber,Y,No,Yes,no,3139.06
100.0,328.6833048735575,44082.42694770554,11.0,64.72717722085586,7,1,Male,Two year,Credit card,dsl,yes,No,yes,no,2480.92
33.0,34.479850917002516,1555.3610306428689,38.0,56.16014617726382,10,2,male,monthly,Mailed check,dsl,Y,no,yes,no,2378.44
19.0,76.03079038510361,3180.914558481384,44.0,114.87359928950546,5,4,female,Month-to-month,Electronic check,No,Yes,yes,Yes,no,4339.79
32.0,73.94809567071634,892.3061415264641,13.0,37.52596094739637,4,3,male,Two year,electronic,Fiber optic,Y,no,No,no,2010.75
74.0,67.60904829943485,2057.839345526797,38.0,64.15015466148971,2,3,male,monthly,Electronic check,Fiber optic,No,Yes,yes,yes,100.0
47.0,82.09192721946786,3924.7799003882824,59.0,59.894964652779116,5,4,M,monthly,Bank transfer,None,Y,Yes,no,no,3757.37
76.0,66.72008790319994,608.5822767934803,10.0,40.870600978600905,10,4,F,Month-to-month,Mailed check,Fiber optic,No,yes,Yes,no,4065.11
,74.2574575222648,4136.266297773429,54.0,54.33025422562865,6,2,male,Two year,Credit card,fiber,Y,no,Yes,no,3514.13
67.0,90.61020339350827,4320.9266543912,56.0,65.54328314039847,8,4,female,monthly,Electronic check,fiber,N,no,No,no,4931.03
59.0,93.06285099925805,3029.185370440763,35.0,41.40958566944256,9,1,female,monthly,Electronic check,None,No,no,No,no,1331.51
68.0,71.42030016411822,4277.830407568647,55.0,40.26453988051494,6,1,female,yearly,electronic,Fiber optic,no,No,yes,no,2990.19
56.0,47.768132082265076,1437.3422918098017,26.0,50.05687515432347,2,1,male,monthly,Bank transfer,Fiber optic,N,Yes,yes,no,2381.42
51.0,48.502954399747644,2353.281257844282,49.0,28.189994153806015,5,1,male,Two year,electronic,DSL,yes,No,yes,no,3043.06
35.0,31.751220727536264,1817.6235231977066,53.0,32.65449247171631,1,4,M,Two year,Mailed check,Fiber optic,Y,Yes,yes,no,2667.2
49.0,69.35376608369836,3967.1164585960964,68.0,90.05301899966614,5,2,Male,Two year,Bank transfer,dsl,Yes,yes,no,no,4430.03
100.0,478.29885144360605,49399.86860199272,48.0,26.92264476369989,5,4,Male,Month-to-month,Electronic check,No,Yes,no,No,no,2325.38
30.0,64.99664431404595,2631.494343224028,39.0,39.60563586795912,4,4,female,monthly,Electronic check,dsl,N,no,No,no,2860.3
200.0,472.88568841541263,32091.463714020283,45.0,33.5925017718646,9,1,Male,Two year,credit,dsl,yes,No,No,no,3756.23
68.0,75.71550077954082,2779.9600575131735,36.0,45.50844841419052,1,1,M,yearly,electronic,DSL,yes,yes,no,no,3295.27
64.0,29.610504424860345,1828.9197356512352,53.0,117.6110713322493,7,1,F,Two year,electronic,None,yes,Yes,Yes,no,3127.23
33.0,,4496.796534134224,46.0,59.68518189879819,7,4,male,yearly,Electronic check,fiber,No,yes,no,no,1068.38
79.0,56.2585123444111,1534.599050588283,29.0,36.23987181142457,7,3,Female,Two year,Mailed check,dsl,Yes,no,Yes,no,2386.97
73.0,56.729604944830456,485.76933530085125,10.0,52.322423504473306,1,4,Female,monthly,Bank transfer,Fiber optic,yes,yes,no,yes,526.23
18.0,42.7834796682411,900.9449529710895,21.0,3.4793399114923957,4,4,M,yearly,electronic,No,yes,Yes,No,yes,100.0
58.0,58.71759805655067,2755.710673146184,46.0,36.74303914418057,6,4,F,monthly,electronic,None,Y,No,No,no,3558.19
51.0,61.268980579882374,3349.479878081823,61.0,29.56602116250602,6,4,F,yearly,electronic,fiber,N,no,Yes,yes,1369.35
100.0,338.1703859124108,40458.954741332476,61.0,59.86999413499217,1,1,Male,monthly,credit,Fiber optic,No,yes,Yes,no,4115.21
33.0,54.072068458991865,2655.412472121584,52.0,19.46875220816852,6,1,Female,Month-to-month,Mailed check,No,Y,no,Yes,no,1284.56
79.0,86.3945858040093,1559.4532222277207,19.0,30.814474790955995,3,4,M,monthly,Electronic check,dsl,Yes,Yes,no,yes,100.0
46.0,92.90367417562747,780.5819092408665,8.0,18.530432687992803,6,2,Male,Month-to-month,credit,DSL,Yes,Yes,no,yes,1001.51
52.0,79.83775500761628,4561.426998736632,59.0,65.64438612155841,8,4,female,Two year,Electronic check,DSL,Y,No,No,no,4570.06
49.0,44.429500286416555,1764.5387228239294,39.0,69.70264852410574,9,3,Female,monthly,Mailed check,None,N,no,No,no,2577.72
55.0,111.09704679645911,5586.452696281528,43.0,94.31270178642195,10,2,Female,Month-to-month,Credit card,fiber,N,No,Yes,no,4337.84
62.0,68.8561567679398,1887.9348538648221,26.0,71.30439275086196,2,4,female,Month-to-month,Bank transfer,dsl,Yes,Yes,no,yes,100.0
47.0,73.2782555779717,4827.772842589038,55.0,84.53206036009686,5,2,M,yearly,credit,None,Yes,no,no,no,3052.43
29.0,88.62922491178756,875.391875699006,12.0,38.90336827078854,10,2,male,monthly,Credit card,DSL,yes,yes,No,no,2932.16
200.0,217.93842831838634,12614.826803721022,55.0,38.151217703123926,5,4,M,Month-to-month,Bank transfer,Fiber optic,Y,Yes,No,no,1881.69
69.0,95.45643911651351,5784.022132740713,52.0,1.5077285904394913,8,4,female,One year,Mailed check,dsl,No,Yes,yes,no,3897.43
57.0,44.35771742392477,2483.039687708882,55.0,44.39897641258643,8,1,Male,One year,Electronic check,fiber,Y,Yes,no,no,2407.48
77.0,93.09045678895436,3154.3414632370573,32.0,82.41842768216041,1,2,female,yearly,Mailed check,dsl,Y,Yes,yes,yes,248.19
23.0,70.60563268076226,1978.3649645397443,28.0,84.55980560568105,5,4,F,Month-to-month,Electronic check,DSL,no,Yes,no,no,1183.38
46.0,90.56139423316783,4038.6568628607283,46.0,66.91848675588713,9,2,male,Two year,Bank transfer,No,yes,No,no,no,3394.64
76.0,23.45681760528037,529.3084326615046,25.0,21.791525973882937,7,1,female,monthly,Mailed check,dsl,no,Yes,yes,no,1804.28
40.0,28.10899857457195,164.58301159350924,7.0,41.26018595970545,8,1,F,Month-to-month,Electronic check,No,no,no,No,no,1903.01
44.0,86.86490707380126,3445.5016450662038,42.0,35.88145142579511,1,1,female,yearly,credit,DSL,yes,no,Yes,no,2737.54
49.0,73.92589606605952,3502.617068417912,58.0,61.52939080142605,8,1,male,yearly,,dsl,Y,no,no,no,2511.98
66.0,74.29051844688667,3442.9300758314776,46.0,60.280808536496586,7,4,F,Two year,Mailed check,dsl,Y,Yes,no,no,2959.92
40.0,61.64388910507067,3883.4946048899583,67.0,89.0244322872799,8,1,male,Two year,Bank transfer,fiber,N,No,yes,no,3954.29
79.0,70.55973628954477,4081.0002079693213,53.0,7.975321472247238,10,2,Female,One year,Electronic check,Fiber optic,yes,no,no,no,3754.31
76.0,69.19307690479569,,58.0,39.6432470637241,7,1,male,Two year,electronic,No,Y,Yes,no,no,2601.01
20.0,51.26437132296877,1574.9863101221817,26.0,55.59068036301798,4,3,male,monthly,Electronic check,Fiber optic,yes,No,Yes,yes,100.0
52.0,17.183641487324472,606.1132820878026,44.0,59.3683459531935,2,1,Female,Month-to-month,Bank transfer,None,N,no,Yes,yes,118.99
54.0,41.04704963633134,1033.0335944900407,25.0,48.804754943920265,3,3,Female,Two year,Bank transfer,No,Y,yes,No,no,1848.84
-23.0,-63.1022848761385,3604.8213407372714,60.0,40.57000326721128,6,1,F,yearly,Mailed check,None,Y,No,Yes,no,4801.22
69.0,54.48532711126952,275.22079802185067,5.0,61.53105455236541,1,2,M,monthly,Mailed check,No,Y,Yes,yes,yes,100.0
27.0,62.21224507433488,52.95352823915164,1.0,42.117506641979304,5,3,female,Month-to-month,electronic,dsl,yes,No,No,yes,100.0
58.0,32.15441198448014,1408.6033399668288,54.0,26.698010570808187,10,3,M,yearly,electronic,Fiber optic,Yes,Yes,no,no,3785.69
66.0,81.50531659369886,2123.1323766087266,29.0,91.26894000064146,4,2,Female,yearly,Electronic check,dsl,No,Yes,No,no,3505.93
-61.0,-81.4509994915195,684.3923111746903,8.0,74.27065056162147,10,4,female,Two year,Bank transfer,DSL,No,yes,no,no,1145.65
40.0,76.80777585915547,5072.851262923346,64.0,2.3244391625053638,5,1,Male,Month-to-month,Mailed check,None,Yes,yes,No,no,4359.11
59.0,73.26094710035919,5159.336989343264,65.0,36.91935645079212,1,1,F,yearly,credit,None,Y,yes,no,no,2444.08
79.0,60.12203673103431,595.174549204849,9.0,64.86555548357906,2,3,Female,One year,electronic,None,yes,No,No,no,3101.69
69.0,52.92164208227591,3362.729735759704,57.0,67.58062242168585,10,4,F,monthly,Bank transfer,No,yes,No,Yes,no,2975.86
49.0,75.1444996507553,4293.217357481244,51.0,52.80693688314308,3,3,female,Two year,Electronic check,dsl,yes,No,No,no,3147.57
32.0,62.392737973707774,872.7474372532273,14.0,47.518869065408786,10,1,Female,Month-to-month,Mailed check,fiber,N,Yes,no,yes,350.51
27.0,69.78963471523755,1413.734660603416,22.0,54.40713735549281,10,3,Female,monthly,Electronic check,dsl,Y,No,Yes,yes,566.78
62.0,69.4800626666306,692.5063377774608,9.0,40.57122718348966,3,1,F,Month-to-month,Bank transfer,fiber,N,no,no,yes,100.0
43.0,89.55688630272907,7394.416388928155,71.0,45.27784011202891,7,2,F,monthly,Electronic check,No,Yes,No,yes,no,3427.15
74.0,27.400850549122318,815.8254181925639,28.0,51.58778891118941,6,3,F,monthly,Credit card,Fiber optic,yes,no,yes,no,2498.28
,59.47536343257689,3784.7408507882824,62.0,39.99710458309041,10,1,female,monthly,Mailed check,DSL,yes,No,Yes,no,3245.55
66.0,67.23460370503864,2336.705094475522,31.0,48.49537423900483,5,3,F,yearly,credit,No,Yes,no,No,no,1834.69
45.0,90.81169572062005,4688.582962520489,46.0,47.71826747542977,7,3,male,yearly,electronic,Fiber optic,Y,yes,No,no,4486.85
28.0,65.79272130162967,3528.727460265773,50.0,35.39260790292635,7,1,male,One year,Mailed check,Fiber optic,Y,yes,no,yes,696.6
